Name,Organization,Project
Hongyuan Ma,PostgreSQL,"""Develop Performance Farm Database and Website"" proposal for Google Summer of Code 2018"
Abhinav Saxena,The Honeynet Project,#15 - CONPOT: Protocols Wave #2
Ulrich Fourier,The Honeynet Project,#9 - DRAKVUF: Support for Dynamic Malware Analysis on ARM
Xiangxiu Meng,INCF,2.3 Monitor Sensors signal in 2D and 3D
Megha Sharma,Wikimedia Foundation,"[#1Lib1Ref] Build a ""worklist"" tool for campaigns and in-person editing events"
Yasas Gunarathne,Apache Software Foundation,[AIRAVATA-2717] [GSoC] Resurrect User-Defined Airavata Workflows
Sahil Khokhar,Wikimedia Foundation,[Analytics] Improvements to Wikistats 2.0 front-end
Deshani Geethika,Apache Software Foundation,[COMDEV-254] Allura - Personal Dashboard
mandlebro,radare,[Cutter] Implement Debugging and Emulation support
Tarek Talaat,KDE Community,[digiKam] Project: Supporting Twitter and One Drive services in digikam export
Fabian Löschner,NumFOCUS,[fenics] Maximizing performance on modern architectures with data-level parallelism
Perside Rosalie,Wikimedia Foundation,[GSoC proposal 2018] Emoji Twitter bot for Commons images from NYPL fork
Vinay C K,AerospaceResearch.net,[gsoc18-a-dd6] DirectDemod: Decoding of Automatic Picture Transmission (NOAA)
Guobao LI,Apache Software Foundation,[SYSTEMML-2083] Language and runtime for parameter servers
Ujjwal Agrawal,Wikimedia Foundation,[Wikimedia Commons app] Allow users to browse Commons from app
Nikunj Gupta,STE||AR Group,A C++ Runtime Replacement
Doğukan ÇELİK,Debian Project,A calendar database of social events and conferences
Réka Nikolett Kovács,LLVM Compiler Infrastructure,A checker for dangling string pointers in C++
P SUDEEPAM,GNU Octave,A fast and accurate command line suggestion feature
Yiannis Simillides,NumFOCUS,A FEniCS wrapper in Julia
Gagandeep Bhatia,Haskell.org,A Library for In-Memory Data Analysis in Haskell
Haoming Jiang,R project for statistical computing,A Major Update for HUGE and SAM
Pietro Vertechi,NumFOCUS,A modern tool for data exploration based on JuliaDB and WebIO
Aman Mehta,DBpedia,A Neural QA Model for DBpedia
Chan Jun Shern,The Processing Foundation,A Platform for Algorithmic Composition on p5.js-sound
Sanskar Jethi,FOSSASIA,A Plug and Play adaptation for SUSI.AI
Anton Komissarov,INCF,A PyNN interface to GeNN
Gregory Brownson,R project for statistical computing,A Shiny User Interface to RobStatTM
Davide Magrin,The ns-3 Network Simulator Project,A simulation execution manager for ns-3
Michael Zhou,KDE Community,A Swatches Docker for Krita
Kartikeya Sharma,MetaBrainz Foundation Inc.,A way to associate listens with MBIDs
Ashley Kelly,NumFOCUS,Accessing SPH data and interpolating onto grids
Diogo Cordeiro,GNU Project,ActivityPub plugin for GNU Social
Kevin Masson,appleseedhq,Adaptive image plane sampling proposal
Tushar Mittal,SPDX,Add a License XML Editor to the Online Tools
Yashdeep Thorat,Wikimedia Foundation,Add a spreadsheet interface for modifying multiple pages to the Page Forms extension
Huzaifa Iftikhar,Open Food Facts,Add Continuous Scan and Thorough Product Addition using OCR in Native Android Application
Gabriel Gatu,Beam Community,Add dialyzer task to Elixir
Yashashvi Dave,Zulip,Add different level of user authentications in streams
Sushil Khanchi,Python Software Foundation,Add dry-run functionality to each write command
pronaip,BRL-CAD,Add exec option to search
Akshay Anand,Oppia Foundation,Add Functionality for Skills
Julian Sherollari,The Qt Project,Add GeoJSON interoperability to QtLocation
Fady Essam,Boost C++ Libraries,Add GPU computations to uBLAS
Yihang Wang,Metasploit,Add meta-shell commands for reverse shell session
Qiu Chaofan,Ruby,Add multi-factor authentication to Rubygems.
Rohan Gupta,Cloud Native Computing Foundation (CNCF),Add Network File System (NFS) as a Rook storage backend
Galo Castillo,SPDX,Add New License Submittal Feature to Online Tools
Shlok Srivastava,Ruby,Add security vulnerability notifications in rubygems
Dattatreya Mohapatra,Boost C++ Libraries,Add statistics and machine learning functions to Boost.uBLAS
Alanas Plascinskas,Haskell.org,Add support for deprecating exports
Afonso Pinto,INCF,Add support for Neurodata Without Borders 2.0 to Geppetto
Shobhan Mandal,LibreOffice,Add Support for Python in LOEclipse Plugin
Hagar Shilo,Wikimedia Foundation,Adding 'User' search filters to the existing filter menu
Saurav Chirania,LibreOffice,Adding a DSL to the UI testing and improving the generated log file
Sagar Gupta,Mozilla,Adding and Improving Functionalities in Autowebcompat
Saurabh Chaturvedi,FOSSASIA,"Adding and Improving System Features, Enhancing Organizer Ease-of-Use and Integrating with Social Media and Other Communication Tools"
Valentin D.,Matrix.org,Adding End-To-End Encryption to matrix-python-sdk
Rosalie Wagner,GFOSS - Open Technologies Alliance,Adding Greek glyphs to the open  source font Arima Madurai
Florian Fecher,GFOSS - Open Technologies Alliance,Adding Greek language support to the open source fonts of the typeface Cantarell
synchon,Open Bioinformatics Foundation,Adding methods to cobrapy for improved constraint-based metabolic modelling.
Harsha Sharma,Netfilter project,Adding missing features to nftables
Raghavender Sahdev,Open Source Robotics Foundation,Adding more motion planning libraries to MoveIt
Thomas Hervey,OpenStreetMap,Adding Notes to iD Editor
Samar Sunkaria,Rocket.Chat,Adding support for theming the Rocket.Chat app for iOS
Anish Bhobe,Godot Engine,Adding support for video decoder modules using GDNative.
nicholaslyang,Ruby,Adding Type Annotations to Ruby Syntax
Ioannis Daras,GFOSS - Open Technologies Alliance,Addition of Greek language to Spacy.io
Sai Harsh Tondomker,Sage Mathematical Software System,Addition of SPQR-tree to graph module
Meghana M Reddy,Sage Mathematical Software System,Addition of SPQR-trees to the graph module of Sage Math
Marc Riera Irigoyen,Apertium,Adopting the unreleased Romanian-Catalan pair and upgrading other pairs to the monolingual module system
Anastasia Kuznetsova,Apertium,Adoption of Guarani - Spanish pair
Prakriti Gupta,Ruby Science Foundation,Advance features in daru-view
Abanda Ludovic,AOSSIE - Australian Open Source Software Innovation and Education,Agora web API and Frontend project
Sharan Yalburgi,NumFOCUS,Alternative computational engines for PyMC3
gabriel laberge,STE||AR Group,Alternative smart executors
Wenhao Huang,mlpack,Alternatives to Neighborhood-Based Collaborative Filtering
Sanjit Chakrabarti,Amahi,Amahi Express Install Disc
Kanyinsola,Amahi,Amahi iOS App Improvements and new Features
Yue Cao,Stony Brook University Biomedical Informatics,An Application for OpenHealth
Aniket Singh,Rocket.Chat,Android and wear app
arihant,Amahi,Android App Imrovements
Manav Jain,The Processing Foundation,Android Debugger for PDE
Aksh Gautam,The Mifos Initiative,Android Field Operations App Version 5
darkLord,Debian Project,Android SDK Tools in Debian
vivekktiwari,R project for statistical computing,Animint2 Designer Manual
Ankita Khurana,Digital Impact Alliance,Ankita Khurana Proposal - The Humanitarian OpenStreetMap Team (HOT)
Sagar Tewari,Checker Framework,Annotate ASM library with signature checker
Julio Caguano,Apache Software Foundation,ANY23-295  Implement ability to use librdfa
Tokio Kajitsuka,Mozilla,AOM - accessibility API
Kai Jiang,Apache Software Foundation,Apache Beam: TPC-H Benchmark on Beam SQL
Majdi Haouech,Apache Software Foundation,Apache Taverna CWL support proposal
William Smith,The Processing Foundation,APDE Beta Push
Sardana Ivanova,Apertium,Apertium translation pair for Kazakh and Sakha
Yago González,Zulip,API docs + multiple keys per user
Abhik Pal,The Processing Foundation,API extensions and fixes for the p5 backend
Sarthak Srivastava,National Resource for Network Biology (NRNB),App Store for Cytoscape Apps
Yimin Zhao,Ruby,Apply for the project of Ruby huge memory machine
Liubomyr Piadyk,CGAL Project,Approximate Convex Decomposition of Volumes Bounded by Triangle Meshes
Ahmed Ismail,Red Hen Lab,Arabic Speech Recognition and Dialect Identification
Ankan Poddar,Center for Research In Open Source Software (CROSS) at UC Santa Cruz,Archiving with Popper CLI
Syam Sundar K,The Processing Foundation,ARCore Renderer : Processing - Android
Pranam Lashkari,Boost C++ Libraries,Astronomy Library
Utkarsh Tripathi,ViSP,Augmented Reality with ViSP and Unity
M. Kajan,OWASP Foundation,Authentication helper add-on for ZAP
Nikhil Pappu,SymPy,Autolev Parser (using ANTLR v4)
Matthias Paulmier,GNU Project,Automake :  Modularize Automake to improve the test-suite performance
Vishal Gupta,GNU Project,Automake : Parse Makefile.am using an Abstract Syntax Tree
Yasmine Dumouchel,mlpack,Automated Binding Generator
ctsung,The Honeynet Project,Automated Malware Relationship Mining
Tony Yang,"Genes, Genomes and Variation",Automated Processing of Primary Genome Analysis
Binguo Bao,PMD,Automated regression tests against real-world projects
Saksham Gupta,phpMyAdmin,Automated Theme Generator Tool
Athos Ribeiro,Debian Project,Automatic builds with clang using OBS
Changcheng Li,R project for statistical computing,Automatic Differentiation in R through Julia
Abhijeet Panda,Python Software Foundation,Automatic Forecasting
Sukrit Bhatnagar,libvirt,Automatic freeing of resources
Alexandre Viau,Debian Project,Automatic Packages for Everything
Shuwei Xu,Red Hen Lab,Automatic Speech Recognition for Speech-to-Text on Chinese
Tasmiah Tahsin Mayeesha,Berkman Klein Center for Internet & Society at Harvard University,Automating Force Based Layout Scaling And Network Visualization For Media Source Networks From MediaCloud Topic Graphs
Eeshan Garg,Zulip,Automating setup and configuration for integrations
Yordan Dimitrov,The Linux Foundation,Automotive Grade Linux (AGL)
Adarsh Balasubramanian,Open Chemistry,Avogadro 2: Molecular Dynamics
Rajendra Kadam,Sustainable Computing Research Group (SCoRe),Azure Support with new Architecture implementation
Chirag Maheshwari,Amahi,Backend Improvements and New Feature Additions
MEGH THAKKAR,Open Bioinformatics Foundation,Backend Website Student Project
itaditya,Probot,Background Checking Github App with Probot
Yash Ladha,FOSSASIA,Badgeyay as a complete service
Isuranga Perera,OpenMRS,Bahmni - Notification on Patient Events
kunalgulati,Free and Open Source Silicon Foundation,BaseJump STL Hacker
vivonk,Sustainable Computing Research Group (SCoRe),Bassa - Implement a mechanism to download files from local server
Gayashan Bombuwala,Sustainable Computing Research Group (SCoRe),Bassa - Mobile App
Yanbo Xu,R project for statistical computing,Bayesian analysis of individualized treatment response curves on EHR time series
Thiloshon Nagarajah,R project for statistical computing,bdclean: User friendly biodiversity data cleaning pipeline
Ravi Kumar Prasad,BeagleBoard.org Foundation,BeagleBoot
Joshua Bonn,MuseScore,Beginner Mode and Tutorial Creation
Alexandre Moine,Haskell.org,Benchmarking graph libraries and optimising algebraic graphs
Marin Stević,freifunk,Better map for nodewatcher
Rohan Rathi,Blender Foundation,Bevel Improvements
Evgenii Glazunov,Apertium,Bilingual dictionary enrichment via graph completion
Liudmila Kornilova,Scala,Binding Generator for Scala Native
Ashwin Agrawal,R project for statistical computing,Biodiversity Data Utilities
Harsh Gugale,TimVideos.us,Bit Error Ratio Analyzer using LiteX
Yiming Wu,Blender Foundation,Blender NPR Line Rendering Improvement
Sneha Singhania,Space @ Virginia Tech,BoLN and ST-ResNet:  Deep Predictive Models for GPS TEC Maps
Laouen Belloli,Boost C++ Libraries,Boost.Real project
Tom Westerhout,Boost C++ Libraries,Bringing Static_views to review-ready state
S Rahul Badami-1,OWASP Foundation,Bug Logging Tool
KUNAL MOHTA,Inclusive Design Institute,Build a Service for Adaptive content and Learning supports
Akshat Garg,FOSSASIA,Build an analytics tool  for  SUSI.AI
Ndip Tanyi,SPDX,Build tool SPDX file generators
Vaibhav Shrivastava,FOSSASIA,"Build upon Open Event Orga App, and make improvements to Open Event Android"
Alona Sakhnenko,INCF,Building a Neural Network Animation tool using Python and Blender
madhur.tandon,INCF,Building a portable open pipeline to detect the hemodynamic response function at rest
Tigpezeghe Rodrige K.,LibreHealth,Building a Report Generator for LibreHealth's EHR system
Harsh_Agarwal,Cloud Native Computing Foundation (CNCF),Building a testing & benchmarking environment for Prometheus
Anup Kumar Panwar,FOSSASIA,Building Analytical Tool for SUSI.AI
Laura Bilicz,INCF,Building high-resolution 3D models of brain vasculature
salman-bhai,Internet Archive,"Building the World’s Open Library, Together"
Rupav Jain,Computational Biology @ University of Nebraska-Lincoln,Candis: A Software Tool for Cancer Prediction And Biomarker Identification Using High-throughput Data
prudhvi reddy,AOSSIE - Australian Open Source Software Innovation and Education,CarbonFootPrint-Mobile
saurabhshri,CCExtractor Development,CCExtractor Web
Gaurav Grover,Computational Biology @ University of Nebraska-Lincoln,ccNetViz
Saurav Sachidanand,CERN-HSF,CernVM-FS powered WebAssembly I/O
Sajitha Liyanage,Sustainable Computing Research Group (SCoRe),ChainKeeper
Pranay Gupta,Purr Data,Change to Double precision floating point
Andrew Connell,R project for statistical computing,changepoint.online
Michael Kawano,aimacode,Chapter 5
Dario Asprone,Sage Mathematical Software System,Checking graph isomorphism using the Weisfeiler-Lehman algorithm
Xu Tony,Red Hen Lab,Chinese Pipeline
Gagandeep Singh-2,FFmpeg,Cineform Decoder Improvements
Sudaraka Jayathilaka,Free UK Genealogy,Citation Generator for FreeREG and FreeCEN
Alexander Sludds,CiviCRM LLC,CiviCRM Extensions for Political Campaigns
VishalGupta,Debian Project,Click To Dial Popup Window for the Linux Desktop
Sanjay Prajapat,Debian Project,Click To Dial Popup Window for the Linux Desktop
Charles Zhang,GNU Project,CLISP - Integrate the SICL compiler into CLISP
Lakindu Gunasekara,Sustainable Computing Research Group (SCoRe),CLocal Azure
Dilantha Wijayarathne,Sustainable Computing Research Group (SCoRe),CLocal GCP
ksdme,coala,coala language server
Shenyu Zheng,Jenkins project,Code Coverage Plugin
Nimish Kapoor,Scilab,Code Quality
Pankaj Kukreja,Polly Labs,Collect Polyhedral Benchmarks
Mina Sami,FFmpeg,Color Constancy Filter
Kumar Akshay,Plone,Command Line Plone Tools
Paul Semel,LLVM Compiler Infrastructure,Command line replacements for GNU Binutils
Sriram Ravichandran,WorldBrain.io - Verifying the Internet,Comments and Annotations
Nidhi Gupta,TEAMMATES @ National University of Singapore,Comments for Responses
Kriti Rohilla,coala,Commit content inspection project
Dinith Minura,Sustainable Computing Research Group (SCoRe),Common app template to Go Social - React Native
Ayush  Bansal,The Linux Foundation,Common Print Dialog Backend
Rupesh Harode,Inria Foundation,Communication Plugin Improvement
Sahil Yerawar,Polly Labs,Compiling Chapel with Polly/LLVM
Sean Innes,NumFOCUS,Compiling Julia to WebAssembly
Kevin Stadler,The Processing Foundation,Complete overhaul of processing-sound library
Radoslav Pitoňák,Fedora Project,Complete support for OpenShift and Kubernetes as a backend in conu
Ashish Kumar Gaurav,SymPy,Completing RUBI Integrator
Sepehr MohaimenianPour,ArduPilot,Complex Autonomous Tasks Onboard a UAV using Monocular Cameras
Bharat Suri,DBpedia,Complex Embeddings for OOV Entities
Igor Baratta,NumFOCUS,Complex Number support in FEniCS
Ganesh Vernekar,Cloud Native Computing Foundation (CNCF),Composite Label Indices & Alerts rule testing
Zhibin Li,strace,Comprehensive test suite
Margaret Norton,Public Lab,Computer Vision enhancements for Raspberry Pi based Public Lab Science Projects
Avik Pal,NumFOCUS,Computer Vision using Flux.jl
Parv Mor,TLA+,CONCURRENT ON-THE-FLY SCC-BASED LTL MODEL CHECKING
Justin Calamari,NumFOCUS,Conda-Forge Bot for Automatic Updates of Recipes
Jiacheng Xu,Cloud Native Computing Foundation (CNCF),Conditional Name Server Identifier - CoreDNS
Keivan Motavalli,The NetBSD Foundation,configuration files versioning in pkgsrc
Tarang Mahapatra,CERN-HSF,Configuration of Lightweight Sites Components using Ansible
Allen Antony,languagetool.org,Confusion Pair Correction Using Sequence to Sequence Models
Dilshat Salikhov,Global Alliance for Genomics and Health,Connect genomic sample discovery and sequencing data streaming
Luca Di Bartolomeo,radare,Console Interface Improvements
Courage Angeh,The Mifos Initiative,"Containerization And Deployment Of Apache Fineract CN Using Docker, Docker Compose And Docker Swarm"
Deepak Patankar,The Linux Foundation,Content Oriented Printer AutoSelection
Sam,INCF,Contextual Geometric Representations of Cultural Behavior
CHENG-HSUN HSUEH,INCF,Contextual Geometric Representations of Cultural Behavior
Anish Kumar Sarangi,Internet Archive,Continue development of the Chrome extension “Wayback Machine”
Biswesh Mohapatra,OpenStreetMap,Continued development of Public Transport Assistant
Wuwei Lin,NumFOCUS,Continuous Detoxification
Lakhan Kamireddy,FreeBSD,Convert all PCI drivers attachments to be table driven and mark with PNP_INFO
Pareksha Manchanda,coala,Convert Bears to Aspects Project
Alban Gruin,Git,Convert interactive rebase to C
Pratik Karki,Git,Convert rebase  and it's options to C
Paul-Sebastian Ungureanu,Git,Convert “git stash” to builtin
Emmanouil Stergiadis,CERN-HSF,Convolutional Deep Neural Networks on GPUs for Particle Physics Applications
Nitanshu Vashistha,coala,corobo Enhancement
Sun Shengran,TEAMMATES @ National University of Singapore,Coverage Boost (Java) & Recycle Bin
Shradheya Thakre,TEAMMATES @ National University of Singapore,Coverage Boost - Java & JavaScript
Antares,CERN-HSF,CPU Race for Particle Hunting
Boran Adas,Open Chemistry,Create a generalized fingerprinting API
Shivam Aggarwal,TimVideos.us,Create a generic debug interface for soft-CPU core (OR1K) and connect it to GDB
Jashanpreet Singh Sraw,SymPy,Create a Rich Beam Solving System
Zhengyue Cheng,Internet Archive,Create a “Map” of the Web
Jakub Janarek,Beam Community,Create an Elixir client for BarrelDB
Subrat Sahu,WorldBrain.io - Verifying the Internet,Create Custom Lists.
Aarif Shaikh,Earth Science Information Partners (ESIP),Create Environmental Science Libraries in Python using the Workflow Paradigm for HPC
Jianxiong Cai,JdeRobot - Universidad Rey Juan Carlos,Create realistic 3D maps from SLAM algorithms
Nilesh Gulia,Plone,Create-React-App for Plone-React
Aman Dwivedi,InterMine,Cross-Intermine Search Tool
Rishabh Maheshwary,AOSSIE - Australian Open Source Software Innovation and Education,Crowd alert proposal for GSOC
Joydeep Mukherjee,AOSSIE - Australian Open Source Software Innovation and Education,Crowd Alert Web
Mukesh Kumar Kharita,WorldBrain.io - Verifying the Internet,Custom Analytics
Anny Chagas,LabLua,"Céu-Maker: easy-to-install, up-to-date integrated environment for Céu-Arduino and pico-Céu development"
Felix Kaaman,Mozilla,D3D11 backend for gfx-rs HAL
Povilas Gibas,R project for statistical computing,Darwinazing biodiversity data in R
Jan Pišl,OSGeo,Database Output Storage for PyWPS
Filip Ion,Sage Mathematical Software System,Databases and bounds of codes
Costantino Carugno,Developers Italia,Datastories
Vaibhav Kumar Rai,coala,Debug and Profile Bears
Radium (Tianlei Zheng),Jitsi,Decentralised client-side recording for Jitsi Meet
Chenyang Hong,Stony Brook University Biomedical Informatics,Deep learning modeling to discover the regulatory sequence motifs that predict the cancer drug responses
Vincent Chan,webpack,Deep Scope Analysis
APwhitehat,Matrix.org,Dendrite: Achieve feature completion of Federation and Typing Server
Ningning Xie,Haskell.org,Dependently Typed Core Replacement in GHC
Birger Schacht,Debian Project,Design and implementation of a Debian SSO solution
Álvaro Cebrián Juan,GNSS-SDR,Design and Implementation of a Graphical User Interface (GUI) to show the GNSS-SDR status in real-time
Katharina Sabel,freifunk,Design network agnostic communication protocol
Cem Bassoy,Boost C++ Libraries,Designing a Generic Tensor Library for Boost.uBlas
Apurva Kamlesh Bhatt,CGAL Project,Develop a demo to demonstrate the use of Boolean operations and Minkowski sum
Ahmed Salman,Free and Open Source Silicon Foundation,Develop a Transaction-Level Verilog Component Library
Parth Shandilya,FOSSASIA,Develop Badgeyay into Complete Service
Lucrezia Patruno,National Resource for Network Biology (NRNB),Develop cyTRON/JS: a backend and a cytoscape.js visualizer for cancer progression models
Chengzhi Tan,LabLua,Develop Socket API for Lunatik
Harshit Kedia,FOSSASIA,Develop SUSI Web Bot Plugin and Private Skills
Adrian Siekierka,MovingBlocks,Developing an assortment of sandbox-friendly framework and content modules
Manish Devgan,FOSSASIA,Developing Badgeyey into a complete Macro Service
bukwurm,MetaBrainz Foundation Inc.,Developing infrastructure for importing data into BookBrainz
Ritika Motwani,FOSSASIA,Developing new features for the Open Event Frontend
Ankit Jain,Drupal,Developing “Affiliates Connects” module for Drupal 8
Jae Hyun,The Processing Foundation,Development Environment:  Beginner/New User Experience Features
Caio Messias,LabLua,Development of a RCU Binding for Lua tables
Avjeet Singh,FOSSASIA,Development Of Android App for PS LAB
Ravi Kiran Selvam,CERN-HSF,Development of the Deep Learning Optimization Algorithms in TMVA.
Piotr Padlewski,LLVM Compiler Infrastructure,Devirtualization v2
Wenjing Wang,R project for statistical computing,Diagnostic statistics and visualization for quantile regression
Jaydeep Nandi,CERN-HSF,DIANA-HEP: Analysis Functions:: Implementation and optimization of common particle physics analysis algorithms in a functional paradigm
Thanh Trung Dinh,KDE Community,digiKam : Web Services tools authentication with OAuth2
Sriyash Caculo,Free and Open Source Silicon Foundation,Digital Filter Block Implementations in MyHDL and PyFDA Integration
Fabian,GNOME,Dino: Message Search
Parichit Sharma,Python Software Foundation,DIPY workflows and Quality Assurance
Sourabh Jain,The ns-3 Network Simulator Project,Direct Code Execution upgrade
Dimitris Gounaridis,The Wine Project,Direct3D - Automated game benchmarks
Abhijeet Sharma,KDE Community,Discover: fwupd integration
Gagan Kumar,Submitty,Discussion Forum
shravan97,CERN-HSF,Distributed Big Data Analysis with TDataFrame
Uppinder Chugh,Xapian Search Engine Library,Diversification of Search Results
Sagar Bharadwaj,Mozilla,Download Spam Protection for Firefox
Gaurav Sachdeva,Public Lab,Draft Feature and Email Integration project
Stewart Sentanoe,The Honeynet Project,DRAKVUF - Stealthiness Improvement
Mathieu Dolmen,The Honeynet Project,DRAKVUF : Process Injector Enhancement
Saumo Pal,The Honeynet Project,Droidbot with AI
Janagan Siva,Sustainable Computing Research Group (SCoRe),Drola - Backend with Realtime Database
Jithin KS,The Processing Foundation,Dynamic Learning
Joey Pinto,INCF,Dynamic Signal Processing Workflow Designer
Alexander Paetzelt,freifunk,Easily Expandable Wireless Intrusion Detection System
Patrick Park,INCF,Easy BIDS: Starter Kit for Brain Imaging Data Structure
diveshuttam,Debian Project,EasyGnuPG Improvements
koderproxy,JBoss Community,EAT(EAP Additional testsuite)
Yutaro Hayakawa,FreeBSD,eBPF Implementation for FreeBSD
Manish Khurana,The Eclipse Foundation,Eclipse CDT: Integration with the Language Server Protocol
Alfusainey Jallow,The Eclipse Foundation,Eclipse Hono: AMQP protocol adapter
Shivam Mittal,The Eclipse Foundation,Eclipse OMR : Improve Floating Point performance in OMR x86 backend
Théo Giovanna,The Eclipse Foundation,Eclipse SmartHome meets IOTA’s Tangle distributed ledger: accumulating data through Tangle for the SmartHome in exchange of IOTAs.
Pavel Drankou,The Eclipse Foundation,Eclipse Vert.x: Apache Cassandra client
Kshitij Gupta,Mixxx DJ Software,Effects Customizations
Ruijian An,Canadian Centre for Computational Genomics,Efficient frequency spectrum computation over large sample sizes
Apostolos Chalkis,R project for statistical computing,Efficient R tools for geometrical statistics
Sohaib,Elastic,Elasticsearch: Implement the Java High Level Rest Client
njichev,Beam Community,Elixir Idea #1: Typespecs to StreamData generators
Naman Gupta,Public Lab,Email integration Project
Vidit Chitkara,Public Lab,Email Notification Overhaul
Fedor Matantsev,appleseedhq,Embree Integration
Devendra Yadav,Red Hen Lab,Emotion detection and characterization in video using CNN-RNN
Sayali Deshpande,RoboComp,Emotion Recognition Component for Learnbot
Naresh Ramesh,gRPC,Enable building of gRPC Python with Bazel
Noe Nieto,Free and Open Source Silicon Foundation,Enable DEVSIM to simulate solar cells
Ravi Roshan,Checker Framework,Enabling the Checker Framework to handle JDK 9
Praduman,FOSSASIA,"Enhance AAA system, implementing Admin panel, adding features to susi accounts, webclient and UI/UX of SUSI.AI"
Praveen Ojha,FOSSASIA,"Enhance SUSPER Search with Improved  Search Results, Search options,New  Design & Internationalization Features."
Alexandru Valeanu,JGraphT,Enhanced support for trees
Akshat Jain,FOSSASIA,Enhancement of Susi Web Client and Server
Saurav Vishal,FOSSASIA,Enhancement to FOSSASIA’s Phimpme Android Application.
Jogendra Singh,FOSSASIA,Enhancement to SUSI iOS Project
Akash_Sharma,The Linux Foundation,Enhancements for ipptool
Ridmal Liyanagamge,OpenMRS,Enhancements of Attachments module
Diparth Shah,The Center for Connected Learning and Computer-Based Modeling,Enhancements to NetLogo Web Project
Priyanshu Khandelwal,FOSSASIA,Enhancements To Open Event Orga Application
Harsimar Singh Parihar,FOSSASIA,Enhancements to Open-Event-Android App
Sachin-Singh,P2PSP.org,Enhancements to P2PSP Simulator
Arundhati Gupta,FOSSASIA,Enhancements to SUSI.AI Android Client and Server
Hari sai charan challa,Boost C++ Libraries,Enhancing Boost.Intrusive Library
Madhav Gaba,AOSSIE - Australian Open Source Software Innovation and Education,Enhancing CarbonFootprint-Mobile
Georg Ottinger,Intel Media And Audio For Linux,Enhancing Libva-Utils with VP8 and HEVC Encoding and Temporal Scalability for VP8
Khilan Ravani,Haskell.org,"Enhancing the Haskell Image Processing Library with State of the Art Algorithms : Project Proposal GSoC, 2018"
Divyanshu N Singh,FOSSASIA,"Enhancing the SUSI AI bots, server and creating a web bot plugin for SUSI AI"
Tejan Karmali,NumFOCUS,Enriching Model Zoo of Flux.jl
Umesh Jayasinghe,Sustainable Computing Research Group (SCoRe),EtherBeat - Optimize block extracting mechanism in EtherBeat
Éricles Lima,JSK Robotics Laboratory / The University of Tokyo,EusLisp more Common
Iaron da Costa Araújo,MovingBlocks,Event Recording Feature
Ahmed Ifhaam,Apache Software Foundation,Evolve DRAT web interface
Mahesh S Nair,KDE Community,Expand Peruse Creator’s Abilities
James Gawley,Classical Language Toolkit,"Expanding the CLTK with Synonyms, Translations and Word Embeddings"
Sergi Segura Muñoz,GNSS-SDR,Expanding the receiver to BeiDou B1I
Sara Hrbek,GNSS-SDR,Expanding the receiver to BeiDou B1I
Dong-Kyeong Lee,GNSS-SDR,Expanding the receiver to Beidou B2a
Aleksandr Efremov,CERN-HSF,Extend clad - The Automatic Differentiation
Abinash Senapati,Apertium,Extend lttoolbox to have the power of HFST
Sahana Prasad,The Libreswan Project,Extend RFC-7427 Signature Authentication support to IKEv2 with ECC / EDDSA support
Karandeep Singh Juneja,Python Software Foundation,Extend Visualization - Focus in UI
Florian Schäfer,OpenStreetMap,"Extend wikipedia plugin for JOSM, especially with regard to wikidata"
thechargedneutron,Python Software Foundation,Extended Visualization : Focus in GLSL
Ivan Pavlov,R project for statistical computing,Extending 'rvw' and reintegrating vowpal wabbit
Andreas Gerstmayr,Performance Co-Pilot,Extending BCC support for Performance Co-Pilot and Vector
Anirudh M,Cloud Native Computing Foundation (CNCF),Extending Envoy's fuzzing coverage
Bill Engels,NumFOCUS,Extending Gaussian Process Functionality in PyMC3
Keyu Chen,CGAL Project,Extending Generalized Barycentric Coordinates
Pratik Dhanave,Sustainable Computing Research Group (SCoRe),"Extending GoCloud provider support for ali cloud, Microsoft Azure and OpenStack"
Dhiraj Barnwal,Mozilla,Extending Iodide’s Functionality and Improving Code Quality
Hrishav Mukherjee,Boston University / XIA,Extending Mininet to support simulation of XIA networks
Eleftheria,Classical Language Toolkit,Extending NLP functionality for Germanic Languages
Vibhav Agarwal,AOSSIE - Australian Open Source Software Innovation and Education,Extending the reach of CrowdAlert with improved features and functionality
Soha Hussein,The Java Pathfinder Team,Extending Veritesting In SPF
Devi Acharya @dacharya64,MovingBlocks,Extending “Light and Shadow” Gameplay and Functionality
Idloj,The Center for Connected Learning and Computer-Based Modeling,Extension & Library Manager
David Těthal,OSGeo,Extension of Gisquick platform filtering tool based on raster and vector spatio-temporal data
Chandeepa Dissanayake,GENIVI Alliance,Extension to Voice Command of IVI System
Stefano Duo,FreeBSD,Extensions to the netmap framework
Harshit Joshi,Debian Project,Extracting data from PDF invoices and bills for financial accounting
Mircea-Tudor Chifor,Institute for Artificial Intelligence,Eye Tracking GUI Integration
achie27,CCExtractor Development,FabBits
Ram Ramrakhya,CloudCV,Fabrik
Hanlin Tang,CERN-HSF,FALCON
Christina Vaz,CGAL Project,Fast and Flexible Distance Transforms in CGAL
Mohamed Mohamed,NumFOCUS,Fast Extremal Eigenvalue Iterative Solver with Preconditioners
Johan Larsson,R project for statistical computing,Fast Sparse Linear Models for Big Data with SAGA
Xin Chen,R project for statistical computing,Fast Symbolic Computation in R with  SymEngine
