Name,Organization,Project
Chandramouli Rajagopalan,Debian Project,Packaging and Updating Android SDK Tools
pyc0d3r,INCF,Packaging the virtual brain for the modern world
Andrew Knapp,Haskell.org,Parallel Automatic Differentiation
Soham Tamba,NumFOCUS,Parallel Graph Development
Vaibhav Dixit,NumFOCUS,Parameter estimation for nonlinear dynamical models.
Victor De Gouveia,LEAP Encryption Access Project,Password Keeper Service Proposal
shubham.jain,QEMU,Patchew REST API improvements.
Kaan Sancak,National Resource for Network Biology (NRNB),PathwayMapper Improvements and Integration into cBioPortal
Dileka Madushan,OpenMRS,Patient Clinical Summary Enhancement
Maksim Filin,"CLiPS, University of Antwerp",Pattern 3 Natural Language processing
Sanyam Goel,The Mifos Initiative,Payment Gateway And Mobile Money Integration
Mayank Lunayach,Systers Community,PC Prep Kit
Andrii Dehtiariov,Performance Co-Pilot,PCP Windows Installer
Ridhwan Luthra,Open Source Robotics Foundation,Perception Pipeline Improvements
Anthony_AC,R project for statistical computing,Performance Analytics Standard Errors
Jonathan Neuschäfer,The Linux Foundation,Performance and benchmarking improvements in WireGuard
Sebastian Pfitzner,NumFOCUS,Performance Linting for Juno
Hanqing Xie,JdeRobot - Universidad Rey Juan Carlos,Personal for GSoC 2018 - JdeRobot-Academy: robot navigation using Open Motion Planning Library
Ivantha,CERN-HSF,Petabyte-Scale Cloud Storage File Manager
Jacob Adams,Debian Project,PGP Clean Room Live CD
Swapnil Sharma,OpenAstronomy,Phase-resolved oscillations
Arnab Banerjee,INCF,Physics-based XML Model building for mosaic embryogenesis of Caenorhabditis elegans
Andrii Prykhodko,ScummVM,Pink Panther Engine
Harish Fulara,GNOME,Pitivi UI Polishing
Yatin Maan,GNOME,Pitivi: Scaled Proxies
Vincent Fango,omegaUp.com,Plagiarism detector and Ghost mode
Sai Krishna Chowrigari,52° North Initiative for Geospatial Open Source Software GmbH,Plain GPS-based Recording for enviroCar
Christine Hu,Inclusive Design Institute,Playtown!: Creativity through Exploration
Ferencz Kovács,KDE Community,Plotting of live MQTT data
Madhushanka Padmal,Pocket Science Lab,Pocket Science Lab - GSoC '18
Pramit Singhi,Mozilla,Pontoon
vishalcr7,Mozilla,Pontoon's path to first contribution
Arjun Karuvally,Canadian Centre for Computational Genomics,Population genetics simulation and modeling using reinforcement learning
SamuelHenrique samueloph,Debian Project,Port Kali Packages to Debian
Gun Park,KDE Community,Port keyboard input modules to Qt Quick and expand scope to cover input method configuration for System Settings
Lele Ma,The Honeynet Project,Port LibVMI to Xen MiniOS
Aman Kumar  Gupta,KDE Community,Port the package of all GTK+ piano activities to Qt
Pengcheng Xu,Gentoo Foundation,Portage powered Android
Prakhar Srivastava,OpenAstronomy,Porting Essential ERFA Functions to Julia
Mateus de Morais,FreeBSD,"Porting Microsoft's CoreCLR, CoreFX, and PowerShell to FreeBSD"
Oluwaseun,Streetmix,"Porting MongoDB to PostgreSQL and Authenticating Users via Email, Facebook and Google."
Udit kumar Agarwal,RTEMS Project,Porting SDIO driver and Benchmarking
Akshay Sharma-1,ViSP,Porting ViSP to Android Devices
Albertor,Metasploit,Post-exploitation interface module to make it easy for  anyone anywhere
Rimjhim Bhadani,Systers Community,PowerUp-Android
Karan Dhingra,Wikimedia Foundation,Predict relevance of search results from historical clicks using a Neural Click Model
aps120797,Probot,Probot : Weekly Digest
Maks Surguy,The Processing Foundation,Processing for ARM devices (such as Raspberry Pi)
thealphadollar,CCExtractor Development,Project Nephos
AadityaNair,CCExtractor Development,Project Nephos
Pratul Kumar,Sugar Labs,Project: Beginner’s Guide | Developer’s Dashboard | Sugarbot
Manan-1,Inria Foundation,Proposal for GSoC
Wang Yuchao,Joomla!,Proposal for GSoC 2018
Dave Barry,Internet Archive,Proposal for Internet Archive
Alexandra Ciobica,Joomla!,Proposal for Project VI: Enhance Users
Shixin Li,Institute for Artificial Intelligence,Proposal for RoboSherlock GSOC 18
Saumya Shah,Free UK Genealogy,Proposal for Saumya Shah - Probate Parsing
Abhijit Kumar,Systers Community,Proposal for Systers Portal
Gerald LaMountain,GNSS-SDR,Proposal to implement Bayesian Covariance Estimation for Kalman Filter based Digital Carrier Synchronization in GNSS-SDR
Aaron Zhao,Elastic,Proposal-Draft: Calendar Visualization and Filtering
Eric Keilty,Global Alliance for Genomics and Health,Proposal: Global filesystem and search engine for genomics data
Alan Williams,Canadian Centre for Computational Genomics,Providing Public Accessibility for SegAnnDB
HMPerson1,radare,Pseudo-C Backend for Radeco
Aditya Bansal,Zulip,Public Stream Archives
Mikhail Ivchenko,CERN-HSF,Pure-Go XRootD client implementation
Mriganka B R Chowdhury,Eta,Purity and Nullability Analysis
Stefanie Lumnitz,Python Software Foundation,PySAL - Geovisualization Package
Jaipal Singh,BRL-CAD,Python BRL-CAD
Nupur Gunwant,InterMine,Python Client Expansion
Adarsh Suraj,CloudCV,"Python Package, Amazon SQS and REST-ful services for EvalAI."
Konstantinos Liosis,GFOSS - Open Technologies Alliance,Python PenTest Library (PyPen)
Emanuele Esposito,QEMU,Qtest Driver Framework
Sukanta Roy,TEAMMATES @ National University of Singapore,Questions+
Mehul Prajapati,The syslog-ng project.,Queue Interface
Ishan Srivastava,coala,Quickstart Green Mode
Tim Yu,R project for statistical computing,R Interface to Ideogram.js Library
Shohei Kuroiwa,radare,Radeco Pseudo C Code Generation
Vaibhav Gupta-1,Red Hen Lab,Rapid Annotator
Raphaël Zumer,VideoLAN,Rate-distortion optimization in rav1e
Raghukul Raman,Sage Mathematical Software System,Rational Point on Varieties
Supragya Raj,Apertus Association,Raw video container format
Sparsh,RoboComp,RCIS: improving RoboComp simulator with contact physics
Susan Leung,Open Chemistry,RDKit-MolVS Integration Project - GSoC 2018
Lahiru Jayathilake,Apache Software Foundation,Re-architect Output Data Parsing into Airavata core
Alexander Polyakov,LLVM Compiler Infrastructure,Re-implement lldb-mi on top of the LLDB public API
Marco Musumeci,freifunk,Re-write the Turnantenna code
Chhavi Shrivastava,MetaBrainz Foundation Inc.,React-based UI Component Library: A game-plan for user experience  design overhaul of MusicBrainz
nick.power,freifunk,Realizing a decentralized WiFi Controller
Harshit Prasad,CERN-HSF,Recurrent Neural Networks and LSTMs on GPUs for Particle Physics Applications
Evandro C Taquary,Earth Science Information Partners (ESIP),Recurrent Neural Networks applied in the time-series classification over a high resolution data
Nikhil Ramakrishnan,FreeType,Redevelop FreeType's documentation using markdown
Sandeep Chauhan,Python HYDRA,Redis as a Graph Database
Safwan Rahman,Read the Docs,Refactor & Improve search code
Thomas Hirsch,Catrobat,"Refactoring - Testable code, simplify existing unit tests, enhance test coverage"
Somesh Chaturvedi,Global Alliance for Genomics and Health,Reference Sequence Retrieval API
Lorenzo Soligo,Developers Italia,Refreshing DAF & easing developers’ life
Aniket Pandey,FreeBSD,Regression Test Suite for Audit Framework
Sunwoo Kang,National Resource for Network Biology (NRNB),Rendering Complex Genetic Design with DNAplotlib for a Beautiful Visualization of Genetic Circuit
Naman Tiwari,MovingBlocks,Renovation of MasterOfOreon
Ichiho Ojima,3DTK,Replacing the glui GUI with a Qt5 GUI
Keanu Nichols,CHAOSS: Community Health Analytics Open Source Software,Reporting of CHAOSS Metrics
