Name,Organization,Project
Mariana Nave,pen Bioinformatics Foundation,antiSMASH Migration to Template System
Erandi Ganepola,pache Software Foundation,Apache -VXQUERY-180 (RESTful API)
Nikhil Pawar,pache Software Foundation,Apache Fineract Credit Bureau Integration phase 2
Polina Koleva,Boss Community,Apache Kafka/HBase integration in Unified Push Server
Imesha Sudasingha,pache Software Foundation,Apache OODT : Rework OODT configuration to make use of Zookeeper for distributed configuration management
Laksono Kurnianggoro,penCV,API for Facial Landmark Detector
Gianluca Nitti,ovingBlocks,API(s) for out-of-game interaction with Terasology server
George Papadrosou,ERN-HSF,Assess ROOT's asynchronous data prefetching
Riyafa Abdul Hameed,pache Software Foundation,ASTERIXDB-1371 Support the standard GIS objects
Aarya Patil,penAstronomy,Astropy : A mixin protocol for seamless interoperability
Karolina Stosio,ed Hen Lab,Audio embedding space in a MultiTask architecture
Divesh Pandey,ed Hen Lab,Audio Visual Speech Recognition System based on Deep Speech
Dmitrii Petukhov,cala,Auto-completion and type information in Scastie
Rahul Jha [:RJ722],oala,Auto-removal of dead code through vulture
Sai Krishna Kalyan,pache Software Foundation,Automate performance testing and reporting
Donika Mirdita,he Honeynet Project,Automated Malware Relationships Detection Tool
Aditya T,"ysters, an Anita Borg Institute community",Automated Testing - Photo Language Translation
Vinay Singh,pertium,Automatic blank handeling
Kunal_Singh_,ERN-HSF,Automatic code generation for fast inference in the CMS tracking software
Keerthana S,ikimedia Foundation,Automatic editing suggestions and feedbacks for articles in Wiki Ed Dashboard
Flavius Andrei Isac,oomla,Automatic Parallel Testing Environment
Abhijeet Kaur,ulip,Automation of building bots to Zulip
Joydeep Mitra,IT App Inventor,Background-powered Components
Morgan Gangwere,erkman Klein Center for Internet and Society at Harvard University,Bake a Pi for the lIbrary(box)
Kaveesha Baddage,ustainable Computing Research Group ( SCoRe ),Bassa - Dockerize and modify features.
Adam Boniecki,eeWare Project,"Batavia improvements: JSON module, Generators and others"
Luis Antonio Damiano, project for statistical computing,Bayesian Hierarchical Hidden Markov Models applied to financial time series.
Sichen Zhao,TEMS Project,Beagleboard BSP projects
Indumathi Duraipandian,eagleBoard.org Foundation,BeagleBone AVB Stack
Maciej Sobkowski,eagleBoard.org Foundation,BeagleBone PRU DMA support
Ravi Kumar Prasad,eagleBoard.org Foundation,"BeagleBoot , an all in one flasher/updater"
ee,eagleBoard.org Foundation,BeagleLibs: Libraries for interfacing with the BeagleBone in Rust and Go
Patryk Mężydło,eagleBoard.org Foundation,BeagleWire software support
David Kambersky,ovingBlocks,Behavior Trees
Yasanka Horawalavithana,ustainable Computing Research Group ( SCoRe ),BellyDynamic: A scalable data structure to handle online and offline dynamic graph objects
Dewang Sultania,lpack,Better Benchmarking for mlpack Libraries
Kartikey Agrawal,ovingBlocks,Better blender md5 exporter
Vishal (DiehumbleX),nkscape,Better CSS Style Sheet Support
Krishnan R,ERN-HSF,Big Data Tools for Physics Analysis
Lindsay Rutter, project for statistical computing,bigPint: Big multivariate data plotted interactively
Ashwin Agrawal, project for statistical computing,Biodiversity Data Cleaning
Tiago Jesus,pen Bioinformatics Foundation,Bionode-Watermill - A Streaming Workflow Engine for Bioinformatics
andrralv,ortland State University,Book Description extension for Inform 7
PiyushJain,NU Octave,Boolean operations with polygons on Octave
Quân Nguyễn,ozilla,Boost Session Restore Performance
Tom Westerhout,oost C++ Libraries,boost static_map
l2dy,he MacPorts Project,Bot and CI for macports-ports
Ujjwal Sharma,ublic Lab,Bot for Publiclab
Vlastimil Dort,hecker Framework,Bounded-size strings
Denis Morozov,atrix.org,Bridging the gap between user and VoIP calls on Riot iOS
Clément Fournier,MD,Bringing Object-Oriented Metrics to PMD
Mohit Kumar Bajoria,ifos Initiative,Browser-Based Offline Access
Eeshan Garg,ulip,Build a Slack meta-integration
Rupak Das,he Processing Foundation,Build system migration from Ant to Gradle
Manohar Reddy,he Honeynet Project,Building  examples services for Holmes processing
Nkhoh Gaston Che,penWISP,Building a Javascript Based Configuration UI for OpenWisp
Yuka Takahashi,LVM Compiler Infrastructure,Building bash-completion for clang
Raju Koushik Gorantla,boutCode,Building ScanCode live scan server
Vaibhav Singhal,ulip,Building support for Outgoing Webhooks and Slash commands
M. A. Jude Niroshan,penMRS,Built-In Reports for Reference Application
AkshayAgarwal007,aiku,Calendar Application
Achilles Rasquinha,omputational Biology @ University of Nebraska-Lincoln,CancerDiscover: a GUI for cancer prediction and biometric identification using microarray data
ANAMIKA DAS,ozilla,Canvas for Study Group Event Page
Anuj Gupta,OSSIE - Australian Open Source Software Innovation and Education,Carbon Footprint ( Mobile App )
sidd607,OSSIE - Australian Open Source Software Innovation and Education,Carbon Footprint Mobile Application
Rohit Gupta,OSSIE - Australian Open Source Software Innovation and Education,CarbonFootprint API
Shibasis Patel,penAstronomy,Casacore Testing
Vladimir Polushin,cala,Case classes a la carte with scala.meta
Ilya Kirillov,cala,CBT IntelliJ IDEA‎ plugin
Saurabh Shrivastava,CExtractor Development,CCAligner - Word by Word Subtitle Synchronization.
Sagar Gaur,pen Chemistry,cclib Project: Implement New Writers
Saumay Agrawal,eph,ceph-mgr: Cluster Status Dashboard
Paweł Alameyo Ścibiorski,MPP Standards Foundation,Certificate management support for Spark
Davide Riva,DE,Chat Bridge
Hitesh Gaur,he Eclipse Foundation,ChemClipse - Integrating R
Vasilisa Andriyanets,pertium,Chukchi morphological analyser using HFST
Armin Hasitzka,ono Project,Clang Sanitizers
Johannes Altmanninger,LVM Compiler Infrastructure,Clang-based C/C++ diff tool
Marcin Czarnecki,rupal,Client-side public-key encryption module for Drupal 8
Kasun Vithanage,oomla,Cloud filesystem for Media Manager
Diogo Silva,ideoLAN,Cloud Storage integration
Utkarsh Gupta,loudCV,CloudCV Web App Redesign
Mostafa Saleh,owRISC,CMSIS-DSP on PULPino
Saisankar,OSSIE - Australian Open Source Software Innovation and Education,CO2 EMISSIONS API
Nakul Havelia,OSSIE - Australian Open Source Software Innovation and Education,CO2 EMISSIONS FOR FLIGHTS
Adhika Setya Pramudita,oala,coala: Implement Aspeca
Meet Mangukiya,oala,cobot enhancement
Anoop Chandu Kunisetty,NOME,Code Search for GNOME Builder
Leonard Dervishi,BioPortal for Cancer Genomics,Collaborative construction of cancer pathways with PathwayMapper
Shobhit Agarwal,pen Data Kit,Collect - Improved user experience
Yifan Xiong,MU Sphinx,Collect Pronunciation Dictionaries from Wiktionary
Karl Cheng,abel,Combined Class Fields implementation and spec updates
Mayank Harsani,EAMMATES @ National University of Singapore,Comments+
David Taylor,iscourse,Common Event System for Chatrooms
Yash Srivastav,he Linux Foundation,Common Print Dialog
Anshul Gupta,he Linux Foundation,Common Print Dialog
Abhijeet Dubey,he Linux Foundation,Common Print Dialog for desktop applications and mobile devices
Kapil kumar,pen Bioinformatics Foundation,"Common Workflow Language reference implementation modernization- Making cwltool and schema-salad, Microsoft Windows compatible and providing complete Python 3 support for cwltool and schema-salad"
Abhishek Lal B,rupal,Complete porting of Examples for Developers Sub-modules to D8
Bendegúz Nagy,MD,Complete type resolution for Java
nitish6174,pen Chemistry,Computational Chemistry Web repository
David Streit,OSSIE - Australian Open Source Software Innovation and Education,Computational Philosophy
Shubham Dubey,Virt,Configuring Backup storage for Ovirt
Michael Viveros,cala,Connecting potential contributors with Scala projects via Scaladex
Yuru Shao,he Honeynet Project,Conpot improvements
Shubham-Chaturvedi, project for statistical computing,Constrained Hierarchical Agglomerative Clustering
David Silva,edora Project,Continuous monitoring system for source code weaknesses
BEN UBAH, project for statistical computing,Control Systems Toolbox
András Ecker,NCF,Conversion of a large scale hippocampal network model to NeuroML
Ishan Bansal,imVideos,Convert the JPEG encoder from VHDL to  Migen/MiSoC
Arshad Khan,ozilla,Convert XUL to HTML
Saurav Shekhar,ERN-HSF,Convolutional Deep Neural Networks on GPUs for Particle Physics Applications
ajatgd,ERN-HSF,Convolutional Deep Neural Networks on GPUs for Particle Physics Applications
Vladimir Ilievski,ERN-HSF,Convolutional Deep Neural Networks on GPUs for Particle Physics Applications
Aram Sargsyan,atrix.org,Cool enhancements and an advanced feature set for Riot iOS
Pragadeesh C,spamd,Corpus Testing and Automatic Symbol Score Generation
ps,heckstyle,Coverage of Documentation Comments Style Guide and performance optimization of Javadoc parser
Kimon Topouzidis,ono Project,CppSharp / Maintenance & Improvement tasks
Mohit Mohta,ono Project,CppSharp / Maintenance & Improvement tasks
Nur-Magomed Dzhamiev,or,Crash Reporter for Tor Browser
gramanas,ixxx DJ Software,Crate Enhancements
Amit Kumar Jaiswal,loud Native Computing Foundation (CNCF),Create and implement a Data model to standardize Kubernetes logs
peey,abel,Create Babel parser/transform plugins for proposals in TC39
Dibyajyoti Panda,rupal,Creating a great geospatial experience in Drupal 8 by porting and enhancing the Search_Api_Location module
prasunanand,uby Science Foundation,Creating the fastest math libraries for Ruby by using the GPU through OpenCL and ArrayFire.
djokester,ortland State University,Creation of an NLP Toolbox for Indian Languages
Memduh Gökırmak,pertium,Crimean Tatar-Turkish MT
Mayank_Gupta,CExtractor Development,Cross Platform GUI for CCExtractor
Kirill Mishchenko,lpack,Cross-Validation and Hyper-Parameter Tuning
Suvigya Vijay,erformance Co-Pilot,Custom Graphs in Vector
Rishabh Sethi,ational Resource for Network Biology (NRNB),Cytoscape app for GraphSpace (CyGraphSpace)
Hasan Balcı,ational Resource for Network Biology (NRNB),Cytoscape.js Extension for Querying Large Networks
Edoardo Galimberti,ational Resource for Network Biology (NRNB),cyTRON: a Cytoscape app for the visualization of evolutionary trajectories in cancer progression
daquexian,-9 Mail,Daquexian's proposal about improving account setup
Stefan Dvoretskii,"enes, Genomes and Variation",Data file search API
Olivier Nguyen,hogun Machine Learning Toolbox,Data Project - Patient Monitoring and Decision Support using Health Data
Harsh Baid,nvironmental Data And Governance Initiative,Data Visualization of Archived Content
Rishabh Arora,oost C++ Libraries,Data.Frames in boost.uBLAS
Swati Lodha,DE,Database separation for Similarity
Priyanshu Sinha,ibreHealth,Database Upgrade and Laravel Integration in LibreHealth EHR
Sneha Tilak,pache Software Foundation,Database Versioning in Apache Airavata
Ismael Rodriguez,Bpedia,DBpedia Mappings Front-End Administration
A. S. Aditya Sarma,pache Software Foundation,DBSCAN Clustering in Mahout
Nilanjana Lodh,he Linux Foundation,DBus activatable Print Backends and Common Libraries for the Common Printing Dialog
Sumedh Nimkarde,OSSASIA,Decoupling the building the frontend for Open event server in Ember js.
Vyom Sharma,ERN-HSF,Deep Anomaly
Kris Singh,lpack,Deep Learning Modules
Nigel Fernandez,deRobot - Universidad Rey Juan Carlos,Deep Learning to Detect Objects in Images from RGB-D Input
Andrejs Jurčenoks,"tony Brook University, Biomedical Informatics",Deep learning with open health data
Sepehr,deRobot - Universidad Rey Juan Carlos,DeepRL in Robotics
Harshvardhan Gupta,pache Software Foundation,"DERBY-6921 How good is the Derby Query Optimizer, really"
Aresh Mishra,ovingBlocks,Destination Sol Resurrected
Konrad Djimeli,loud Native Computing Foundation (CNCF),Develop a set of Jupyter Notebooks for the Kubernetes Python Client + Kubernetes Python Client update
Eliakin Costa,DE,Develop a showcase of Krita's new scripting support
Zach Zundel,ational Resource for Network Biology (NRNB),Develop a Synthetic Biology Publication Workflow that Leverages the Synthetic Biology Open Language
Takahiro Yamada,ational Resource for Network Biology (NRNB),Develop a web service which provides simulation / steady state analysis / parameter estimation with SBML models
Vivek Singh Bhadauria,OSSASIA,Develop an Android Science App for PSLab Experiments
Ivan Yashchuk,umFOCUS,Develop assembly of finite element forms on quadrilateral and hexahedral meshes [FEniCS]
Jithin BP,OSSASIA,Develop firmware and experiments for Pocket Science Lab (PSLab)
Piyush Agrawal,OSSASIA,Develop Organizer features for Open Event Orga Server
Nikhil Rayaprolu,OSSASIA,Develop Susper Search Appliance
Michal Habera,umFOCUS,Develop XDMF format for visualisation and checkpointing
Shaik Asifullah,ational Resource for Network Biology (NRNB),Developing a Cluster Computing Framework for Dynamical Modeling
Pranjal Paliwal,OSSASIA,Developing a Plug and Play adaptation of Susi to run on Hardware Device like Raspberry Pi
Pavel Drankov,clipse Vert.x,Developing a Vert.x based MQTT client (in the spirit of Eclipse Paho)
Long Zhang,ational Resource for Network Biology (NRNB),Developing a web interface for DoMo-Pred
Ilias Stamatis,edora Project,Developing administrative tools for 389 Directory Server
Chinmay Pandhare,ublic Lab,Developing Image Sequencer as a library
Harshita Gupta,OSSASIA,Developing the FOSSASIA’s Open Event Frontend App
Harsh Lathwal,OSSASIA,Developing the Meilix Generator for Custom Linux Distributions
So Yeon Min,"tony Brook University, Biomedical Informatics",Development of a deep learning framework to discover personalized genomic medicine for lung and breast cancer
Samyadeep Basu,pen Genome Informatics,Development of a Statistical Framework to Identify Similar Nodes in InterMine
Akarshan Gandotra,OSSASIA,Development of an Android Application for Pocket Science Lab Experiments
Asitava Sarkar,OSSASIA,Development of Android Science App for PSLab and enhancement of firmware
pablombg,etfilter project,Development of nft-sync tool
Raphael TEYSSANDIER,ugar Labs,Development of Sugarizer
lylax47,pertium,Development of the Czech to Russian Language Pair
Fumiya Shigemitsu,erformance Co-Pilot,Device Mapper statistics for PCP
Choxmi Sathsara,penMRS,DHISReport Reporting Enhancements
Themistoklis Beris,pen Technologies Alliance - GFOSS,Diavgeia
Yingjie Liu,DE,digiKam: Face Management Improvements
Pavel Denisov,MU Sphinx,Diphone alignment and acoustic scores
Suyash Garg,etaBrainz Foundation Inc.,Directly accessing MusicBrainz database in CritiqueBrainz
Irene Tang,pertium,Discontiguous Multiwords
LouisJenkinsCS,hapel,Distributed Data Structures
Dorian Beganovic,NCF,Distributed EEG data storage and processing using Apache Hadoop and Spark
apalkar,pache Software Foundation,Distributed Workload Management
Alexandre Almeida, project for statistical computing,Distributional Assessments with Q-Q Plots
Fiorella de Luca,penWISP,Django-radius
Muhammad Shah,MU Sphinx,DNNs for Sphinx
Antoine D.,loud Native Computing Foundation (CNCF),dnstap Middleware
Aman Kumar,EcAn Project,Dockerization & New Instance Setup
Vikas Yadav,mahi,Dockerize Amahi Apps
LucieCharvat,NOME,Documentation Cards for GNOME Builder
Saurav Singh,oala,Documentation Extraction & Parsing
João Cartucho,penCV,Documentation Improvement
slayerjain,Wiki,DokuWiki importer
Iván,oboComp,Domain Specific Language for programming the Learnbot educational robot
Aniq Ur Rahman,oboComp,Domain Specific Language for programming the Learnbot educational robot
Anastasios Lisgaras,pen Technologies Alliance - GFOSS,DonationBox
Oleksandr Borysov,ortland State University,Double Bottom USB Stick (USB Flash Drive with possibility to conceal information)
Gatlin Newhouse,ortland State University,driveraker
nitinkgp23,penAstronomy,Drms module for JSOC Downloads
Namal Jayasuriya,ustainable Computing Research Group ( SCoRe ),DroLa
Amila Karunathilaka,ustainable Computing Research Group ( SCoRe ),Drone Comm
Hasanga Somaratne,ustainable Computing Research Group ( SCoRe ),DroneSym
hemant-mann,wnCloud,Dropbox API v2 Integration
Radostin Stoyanov,ibvirt,Ease creation of containers
Jen Kagan,he Processing Foundation,Easier Debugging and Development in the p5 Web Editor
ALIAKSEI KARPAU,igmah,Easier project model management
Sudaraka Jayathilaka,he Eclipse Foundation,Eclipse CHE: Data Source plugin for Eclipse Che 5
Sara Vidinha Cruz Santos,he Eclipse Foundation,Eclipse CHE: Java Plug-Ins for code assist/checkers
Arthur Deschamps,he Eclipse Foundation,Eclipse Kapua: IoT gateway simulation
Varun  Garg,he Eclipse Foundation,Eclipse OMR: Teach memcheck which regions of memory are accessible
Udeshika Sewwandi,SO2,Eclipse plugin for Siddhi
Marc AndrÃ© Tanner,abLua,Editor Support for Typed Lua
hatim,ree and Open Source Silicon Foundation,EDSAC Museum on FPGA
Carlos I. Colombana,SGeo,Educational games add-on for gvSIG BatovÃ­/Educa
Shivin Srivastava,he Julia Language,Efficient Finite Difference Discretizations of Partial Differential Operators
Deepanshu Thakur,ERN-HSF,Efficient Python routines for analysis on massively multi-threaded platforms-Python bindings for the Hydra C++ library
Leah South, project for statistical computing,Efficient SMC Algorithms in Rcpp
Konstantinos Kallas,eam Community,"Ejabberd support for ""let's encrypt"" ACME protocol"
vikas gupta,ERN-HSF,Electron-ion collision in Pythia8
Mengxing Liu,ostgreSQL,Eliminate O(N^2) scaling from rw-conflict tracking in serializable transactions
Palmer Paul,lm Software Foundation,Elm for iOS
Markus Hovorka,RL-CAD,Elmer-Integration
Stella,ublic Lab,Email Notification Overhaul
Satyam Mittal,CExtractor Development,Enable automated testing on windows and other general sample platform improvements
Annanay Agarwal,LVM Compiler Infrastructure,Enable Polyhedral Optimizations in XLA through LLVM/Polly
Singapuram Sanjay S.V.,LVM Compiler Infrastructure,Enabling Julia to target GPGPUs using Polly
Sourabhreddy Medapati,"enes, Genomes and Variation",Enabling large file format support in Genoverse
ilabdsf,he ns-3 Network Simulator Project,Enabling LTE CA handover to secondary cell
Suman Kumar Ghosh,penCV,End to End text detection and recognition
David Llop,erkman Klein Center for Internet and Society at Harvard University,End-to-end encryption in SwellRT
Valthor Halldorsson,cala,Enforcing type safety in Dottydoc code examples
Satwik Kansal,oala,Enhance coala-quickstart
Saumya Bhatnagar,ulip,Enhance UX for zulip mobile app
Subhankar Shah,OSSASIA,Enhancement of Phimpme Android App
Chirag Wadhera,OSSASIA,Enhancement of SUSI.AI Server and Android App
Giacomo Servadei,penStreetMap,Enhancement of the pt_assistant plugin
Hemant Jadon,OSSASIA,Enhancement to FOSSAsia Loklak Search webapp
Pawan Pal,OSSASIA,Enhancement to the Fossasiaâ€™s PhimpMe Android application
manishbisht,hpMyAdmin,Enhancements collection
Achilles-96,hpMyAdmin,Enhancements collection for phpMyAdmin
Harshit Prasad,OSSASIA,Enhancements in Susper Search Engine
isuruAb,OSSASIA,Enhancements of SUSI AI web Chat
Shailesh351,OSSASIA,Enhancements to FOSSASIA Open Event Android App
Rajula Vineet Reddy,haro Consortium,Enhancing Pharo Command Line Support
Ali Ayub Khan,OSSASIA,"Enhancing SUSI AI server, skills and developing SUSI AI messenger bots"
DEEPJYOTI MONDAL,OSSASIA,Enhancing the Loklak app service and adding more apps
Deepesh Pandey,OSSIE - Australian Open Source Software Innovation and Education,Enriching the Agora library with the state-of-the-art voting rules followed by application usage.
Ravindu Perera,SO2,Environment Support for API Manager
Nikhil Deepak Shinde,hecker Framework,Erroneous use of Java 8's Optional class
Matthew Piekenbrock, project for statistical computing,Estimating the Empirical Cluster Tree
Dimitris Pliakos,pen Bioinformatics Foundation,ETE/Tree matcher
Tharidu Fernando,ustainable Computing Research Group ( SCoRe ),EtherBeat - Smart Contract Monitoring Service
Kacper Mentel,eam Community,ETS support for Erlang Lab
Rebecca Lauren  Miller,age Mathematical Software System,Expanding the Functionality of Dynamical Systems
Gabriel Araujo,NSS-SDR,Expanding the GNSS-SDR receiver to GLONASS
Damian Miralles,NSS-SDR,Expanding the receiver to GLONASS
Konstantinos Kyritsis,pen Genome Informatics,Expansion of functionality and creation of detailed and exciting bioinformatics R demos for InterMineR package
Shubham Barai,ostgreSQL,Explicitly support predicate locks in index AMs besides  btree
Nihal Singh,ovingBlocks,Exploration World- Improved gameplay
Camden Clark,he Center for Connected Learning and Computer-Based Modeling,Exporting and Importing State from NLW and NLD
Yash Nisar,oala,Extend Linter Integration
JoÃ£o Victor Risso,ython Software Foundation,Extend usage of optimized GPU libraries in Theano
Maxim Kochurov,umFOCUS,Extend Variational Inference Methods in PyMC3
Naveen Kumar Sangi,oala,Extending GitMatev2.0 to support GitLab and BitBucket
Arne Kappen,reifunk,Extending LoxiGen and ONOS to enable SDN control of wireless switches via OpenFlow
bodun,ational Resource for Network Biology (NRNB),Extending the IBW Biocompilation Interface with SBOL and SBML Import/Export Capabilities
Siddharth Jindal,CExtractor Development,Extraction of Highlights of a sports video
sukhad Anand,penCV,Face alignment with opencv
Chunxu Tang,itsi,Face and Speech Recognition for Jitsi Meet
Masha Ivenskaya,"LiPS, University of Antwerp",Fake News Detection
Omar Hammad,ython Software Foundation,Faster Stingray
Kwateng Ofori,penMRS,FHIR Module Enhancements  Project Proposal
Sanatt Abrol,penMRS,FHIR OAuth Smart Apps Integration and OAuth Module Enhancements
Pranjal Agrawal,eph,File backend for Rados Gateway
Anton Volkov,he Linux Foundation,Finding bugs related to the data races in Linux kernel
Anton Vasilyev,he Linux Foundation,Finding bugs related to the memory errors in Linux kernel
Sanyam Goel,pache Software Foundation,"Fineract REST API ""Live"" - Swagger"
Rudra Nil Basu,DE,Finishing started activities for GCompris in Qt-Quick
Divyam Madaan,DE,Finishing started activities in GCompris (In Qt Quick)
Robin Kohze, project for statistical computing,FireData: Connecting R to Firebase
Micah Tigley,ozilla,Firefox Developer Tools: CSS Grid Inspector
