Name,Organization,Project
JingPiao Chen,trace,"""Netlink socket parsers"" By Gabriel Laskar and Dmitry V. Levin, 2017"
Tianyu Zhou,he CGAL Project,2D Arrangement Demo Enhancement with New Geometric Curves
Harshit Patni,umFOCUS,2d Color Maps
Pedro Amaro,penStreetMap,3D Model Repository for OpenStreetMap
Candan Eylül Kilsedar,SGeo,3D OSM Plugin API
Ahmed Fathy,DE,[digikam] Project: Database export to remote network devices using DLNA/UPNP
Shaza Ismail Kaoud,DE,[digiKam]: Healing clone tool for dust spots removal
rootkea,he GNU Project,[GNU Wget] Design and implementation of statistics module
Didik Setiawan,he GNU Project,[GNU Wget] Design and Implementation of Test Suite Using Libmicrohttpd
Isuranga Perera,SO2,[IS] WS-Trust Implementation for IS 6.0.0 using Apache CXF Library
bafonins,penStreetMap,[JOSM] UI enhancements and Main menu refactoring
Alexander Baselice,opyleft Games,A 3-D sidescroller game with physics based gameplay to show off the rendering and physics engine of PySoy
Miles Fertel,reeBSD,A better Mergesort for FreeBSD
Daniel Calancea,ono Project,A ccache tool for managed languages
alexjiao,eam Community,A code formatter for Elixir
Moritz Luca Schmid,NU Radio,A DAB/DAB+ transceiver app
Soumya Vadlamannati,OSSASIA,A Front End for the Search Appliance in Susper
Lucas Koehler,he Eclipse Foundation,A Generic Editor Framework for JSON
Leah  Chrestien,reen Navigation,A Medication for e-range anxiety.
Karan Desai,penCV,A Model Zoo for Tiny-dnn
Tameesh Biswas,rupal,A Module for client-side File encryption
Kyle Kneitinger,reeBSD,A New ZFS Boot Environment Management Library & Tool For FreeBSD
Grigory Tantsevov,DE,A Procedural Watercolor Brush Engine for Krita
Zhehui Chen, project for statistical computing,A stochastic variational inference framework for probabilistic modeling toolbox in R
Rishi Raj,OSSASIA,A SUSI Web Chat Application with advanced features for various SUSI skills.
Mykyta Holubakha,entoo Foundation,A utility to manage packages in overlays
udaytheja,OSSASIA,A Web Application making use of the SUSI.AI Server functionalities
Yiannis Simillides,he Julia Language,A Wrapper for the FEniCS Finite Element Toolbox
Mustafa Özçelikörs,he Eclipse Foundation,A4MCAR: A Distributed and Parallel Demonstrator for Eclipse APP4MC
flyingrub,ozilla,about:telemetry redesign
Mukesh Gupta,NCF,Active Segmentation Toolbox for ImageJ
Jason Ge, project for statistical computing,Active Set Based Second-order Algorithm for Sparse Learning
João Dutra Bastos,abLua,Adapt CGILua SAPI launcher to explore all WSAPI features.
Feroz Ahmad,ikimedia Foundation,"Add a ""hierarchy"" type to the Cargo extension"
singhpratyush,OSSASIA,Add Endpoints to Loklak API and Implement World Mood Tracker
Alexey Kondratov,ostgreSQL,Add errors handling and parallel execution to COPY
Mirage,pache Software Foundation,Add Event Listeners to Data Objects and Implement Vote Based Locking
Vibhor Verma,OSSASIA,Add more harvester to loklak server
SPYFF,reifunk,Add MPTCP support in LEDE/OpenWRT trunk
Leonardo Taccari,he NetBSD Foundation,Add multi-packages support to pkgsrc
Reuben Varghese,penMRS,Add Ons Enhancements
Gurkirpal Singh,.Org Foundation,Add OpenMAX state tracker in Mesa/Gallium that uses Tizonia
Arpit Nandwani,BMC Foundation,Add Python3 Support
psolanki,etaBrainz Foundation Inc.,Add Rating System in CritiqueBrainz
Buddhi Ayesha,pache Software Foundation,Add SQL support
Param Singh,etaBrainz Foundation Inc.,Add statistics and graphs to ListenBrainz
Heshan Jayasinghe,he Eclipse Foundation,Add support for Shapes Constraint Language (SHACL) for Eclipse RDF4J
Jie Weng,reeBSD,Add support for usbdump file-format to wireshark
Sahil Arora,he Linux Foundation,Add support to CUPS-FILTERS for enabling conversion to and printing of PCLm files supported by IPP everywhere printers.
Badshah,etasploit,"Add vulnerabilities to Metasploitable3, reduce Bugs, work on enhancements and customisation feature"
Mohammed Huzaifa,ideoLAN,Adding 3D support
Sachin Patil,pache Software Foundation,Adding a new NoVNC console- CloudStack9778
Rajat Shinde,SGeo,Adding Audio/Video and SOS input support in the MapMint4ME
Natasha Voake,lassical Language Toolkit,Adding CLTK Functionality for Old and Middle French
Gautam Malu,pen Detection,Adding CNN based classifiers and Detectors
Harkirat Singh,ozilla,Adding Collaboration Features to Thimble
Harjot Singh Bhatia,ikimedia Foundation,Adding custom features while Upgrading and updating Quiz extension
Emilios Theofanou,pen Technologies Alliance - GFOSS,Adding Greek support for the Open Source Font “Eczar”
umeshksingla,he MacPorts Project,Adding migrate action to port command
Vikram Nitin,ython Software Foundation,Adding more types of Convolution Operations
Saumo Pal,OSSIE - Australian Open Source Software Innovation and Education,Adding more voting algorithms to Agora
Mengchi Zhang,NCF,Adding MPI support to GeNN
Kumar Shashwat,mahi,Adding new functionalities to the Android app
Pradyun Gedam,ython Software Foundation,Adding Proper Dependency Resolution to pip
Manvendra Singh,pen Bioinformatics Foundation,Adding Python 3 compatibility and improving mypy support for cwltool
Fábián Kristóf,DE,Adding support for plotting of real-time data in LabPlot
Raghav Jajodia,ational Resource for Network Biology (NRNB),Adding support for PSIMI-TAB format to the Disease Variant Impact (DV-IMPACT) Database
Himanshu Dixit,rupal,Adding support for Theleague oauth and new implementers for social auth and social post
Ewald Hew,he FreeType Project,Adding support for Type 1 fonts to Adobe CFF Engine
abhidas17695,nternet Archive,Addition of advanced features to the existing Google Chrome extension of the Wayback Machine
Parthvi Vala,adasta,Additional Login Options
Wang Leng Tan,EAMMATES @ National University of Singapore,addressbook-level5
Yunyu Lin,clipse Vert.x,Administration Console for Vert.x Applications
Marc Riera Irigoyen,pertium,Adopting English-Catalan language pair to bring it close to state-of-the-art quality
Jakub Macina,iscourse,Advanced search enhancements & Autospec gem
Nikolay Marchuk,trace,Advanced syscall filtering syntax
Edgar Kaziakhmedov,trace,Advanced syscall information tool
Viktor Krapivenskiy,trace,Advanced syscall tampering and filtering with Lua/LuaJIT
Myroslava Romaniuk,haro Consortium,Advancing in Pharo Code Quality Support
Chindhanai Uthaisaad, project for statistical computing,Advancing_factorAnalytics
Jakub Senko,hpBB Forum Software,Advertisement management extension
Edoardo Putti,penWISP,AirOS backend for OpenWISP2
Pranjal Kumar Rai,obile Robot Programming Toolkit (MRPT),Algorithm improvements to KD-Tree module: applications to ICP
Saksham Gupta,ortland State University,Aligning Faces Using OpenCV
Akshay Sharma,he Julia Language,An Artificial Neural Network Differential Equation solver for Julia
Chashmeet Singh,OSSASIA,An iOS app making use of the SUSI.AI Server functionalities
Dimitra,Boss Community,"Analysis of Scalable Solutions for UPS database with Apache Kafka, Apache Spark and HBase"
Arpan Banerjee,ovingBlocks,Anatomy System and Genome integrations
Chirag Maheshwari,mahi,Android App (Amahi Anywhere) Improvements
Tarun Mudgal,ifos Initiative,Android Field Officer v4
Ziyue Yang,he Honeynet Project,Android Sandbox Detection and Countermeasure Proposal
Gopala (gkrishnan724),ifos Initiative,AngularJS Web App Enhancements
Courage Angeh,ifos Initiative,AngularJS Web App Enhancements
Faizan Khan, project for statistical computing,Animated Interactive Plots (animint)
gabbar1947,RL-CAD,"Annotations: Implement support for 2D annotations, labels that can be added to geometry"
iry,or,anon-connection-wizard
Nipun Thathsara,penMRS,Anonymous Patient Registration Project
